Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Austria,AUT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.36
Austria,AUT,Gini index,SI.POV.GINI,29.8
Austria,AUT,Coverage of social insurance programs (% of population),per_si_allsi.cov_pop_tot,..
Austria,AUT,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,17.5
Austria,AUT,Multidimensional poverty index (scale 0-1),SI.POV.MDIM.XQ,..
Austria,AUT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.887528836727142
Austria,AUT,Ease of doing business rank (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Austria,AUT,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,38848.2014876238
Belgium,BEL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.55
Belgium,BEL,Gini index,SI.POV.GINI,26
Belgium,BEL,Coverage of social insurance programs (% of population),per_si_allsi.cov_pop_tot,..
Belgium,BEL,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,18.9
Belgium,BEL,Multidimensional poverty index (scale 0-1),SI.POV.MDIM.XQ,..
Belgium,BEL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.521023035049438
Belgium,BEL,Ease of doing business rank (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Belgium,BEL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,36508.5647515969
Cyprus,CYP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.59
Cyprus,CYP,Gini index,SI.POV.GINI,31.7
Cyprus,CYP,Coverage of social insurance programs (% of population),per_si_allsi.cov_pop_tot,..
Cyprus,CYP,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,21.3
Cyprus,CYP,Multidimensional poverty index (scale 0-1),SI.POV.MDIM.XQ,..
Cyprus,CYP,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.288732588291168
Cyprus,CYP,Ease of doing business rank (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Cyprus,CYP,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,22557.130859375
