Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Austria,AUT,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,11.47426033
Austria,AUT,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,5585.08837891
Austria,AUT,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,6400.89537826853
Belgium,BEL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,11.06453228
Belgium,BEL,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,5009.45507813
Belgium,BEL,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,5883.08141973941
Bulgaria,BGR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.52063847
Bulgaria,BGR,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,856.70452881
Bulgaria,BGR,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,2087.7731290536
Croatia,HRV,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.76502275
Croatia,HRV,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,1094.53283691
Croatia,HRV,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,2228.97023598529
Cyprus,CYP,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.0934782
Cyprus,CYP,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,2245.36083984
Cyprus,CYP,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,3218.90341895341
Czechia,CZE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.24007225
Czechia,CZE,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,2119.84863281
Czechia,CZE,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,3846.02064653437
Estonia,EST,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.75206661
Estonia,EST,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,1787.86657715
Estonia,EST,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,2919.38722053329
Finland,FIN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.61349583
Finland,FIN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,4726.14160156
Finland,FIN,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,4896.90850631243
France,FRA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,12.20504951
France,FRA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,4768.72705078
France,FRA,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,5740.38212903533
Germany,DEU,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,12.82248878
Germany,DEU,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,5930.33203125
Germany,DEU,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,7031.94197718211
